出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","1101","台泥","水泥工業","12412837","8593689","13635386","44.441310361592095","-8.966002135913131","33259418","34972226","-4.897623617095463","-"
"115/05/01","115/3","1102","亞泥","水泥工業","5349407","3493115","6532662","53.14145111168685","-18.112907111985894","14829486","16594707","-10.63725319163514","-"
"115/05/01","115/3","1103","嘉泥","水泥工業","242715","188835","266282","28.532846135515133","-8.850391690012843","688369","752454","-8.516799698054632","-"
"115/05/01","115/3","1104","環泥","水泥工業","580759","460060","702215","26.235491022910054","-17.296127254473344","1759047","1928654","-8.794060520964361","-"
"115/05/01","115/3","1108","幸福","水泥工業","346885","259157","408312","33.85129477498196","-15.044132917964694","980706","1212710","-19.13103709872929","-"
"115/05/01","115/3","1109","信大","水泥工業","314014","167550","446709","87.41509997015817","-29.705020494326284","855341","989911","-13.594151393408094","-"
"115/05/01","115/3","1110","東泥","水泥工業","224535","159417","274954","40.84758840023335","-18.337249139856123","582643","740524","-21.32017328270252","-"
"115/05/01","115/3","1201","味全","食品工業","1684666","1640170","1773075","2.71288951755001","-4.986196297392947","5001067","5215369","-4.109047701131023","-"
"115/05/01","115/3","1203","味王","食品工業","464822","386214","521527","20.353482784155933","-10.872879064746408","1312851","1532412","-14.32780479401101","-"
"115/05/01","115/3","1210","大成","食品工業","9209941","7628102","8770327","20.736993291384934","5.012515496856617","26564977","25542326","4.003750480672747","-"
"115/05/01","115/3","1213","大飲","食品工業","23319","29013","19695","-19.6256850377417","18.4006092916984","77083","66141","16.54344506433226","-"
"115/05/01","115/3","1215","卜蜂","食品工業","2511460","2030010","2335353","23.716631937773705","7.540915656005752","7176319","6697082","7.155907602744001","-"
"115/05/01","115/3","1216","統一","食品工業","57379159","51532816","55935541","11.344893320015736","2.580859993827538","175016437","169266002","3.39727702672389","-"
"115/05/01","115/3","1217","愛之味","食品工業","384534","319659","402634","20.29506442803112","-4.495397805451105","1166214","1185670","-1.6409287575801024","-"
"115/05/01","115/3","1218","泰山","食品工業","872329","837121","825493","4.205843599670777","5.673700443250276","2653122","2499326","6.153498983325905","-"
"115/05/01","115/3","1219","福壽","食品工業","1303877","1059567","1294322","23.05753199184195","0.7382243367570048","3635378","3635481","-0.0028331876854809585","-"
"115/05/01","115/3","1220","台榮","食品工業","260429","183280","269636","42.09351811436054","-3.4146033912385585","732202","758249","-3.435151249787339","-"
"115/05/01","115/3","1225","福懋油","食品工業","1078686","889099","1061994","21.323497158359192","1.5717602924310308","3281183","3220752","1.8763009384143827","-"
"115/05/01","115/3","1227","佳格","食品工業","2101944","1872242","2006555","12.268819949557804","4.75386919371759","7770503","6880311","12.938252355162433","-"
"115/05/01","115/3","1229","聯華","食品工業","932321","687463","768711","35.6176259667793","21.28368138351084","2616213","2421955","8.020710541690494","-"
"115/05/01","115/3","1231","聯華食","食品工業","973737","1103687","1001578","-11.77417148158853","-2.7797136119203896","3348538","3125895","7.122536105659339","-"
"115/05/01","115/3","1232","大統益","食品工業","2019725","1661070","1935400","21.59180528213742","4.3569804691536635","5894059","5397170","9.206473021972627","-"
